Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_PERC,3P,3PA,3P_PERC,2P,2PA,2P_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_PERC,DRB_PERC,TRB_PERC,AST_PERC,STL_PERC,BLK_PERC,USG_PERC,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,Allen Crabbe,SG,25,BRK,70,63,2064,5.3,13.3,0.396,3.1,8.5,0.366,2.2,4.9,0.448,1.7,2.1,0.84,0.5,4.8,5.2,1.8,0.7,0.5,1.3,2.8,15.4,11.1,0.541,0.635,0.156,1.3,14.2,7.7,7.9,1,1.1,18.7,1,1.3,2.3,0.054,-0.3,-1.1,-1.4,0.3
2017,Torrey Craig,SF,27,DEN,33,4,532,3.9,8.3,0.475,1.1,3.2,0.333,2.8,5,0.568,1.5,2.4,0.629,2.2,5.1,7.4,1.4,0.6,0.5,0.9,3.5,10.4,10.8,0.56,0.393,0.287,7,16.1,11.6,5.4,0.8,1.3,12.4,0.7,0.3,0.9,0.085,-1.1,-1.6,-2.6,-0.1
2017,Jamal Crawford,SG,37,MIN,75,0,1539,7,16.5,0.423,2.4,7,0.34,4.6,9.5,0.484,2.3,2.6,0.9,0.4,1.7,2.1,4.1,0.9,0.2,2.1,1.9,18.6,13.8,0.529,0.426,0.156,1.3,5.5,3.4,17.2,1.3,0.5,24.2,1.2,0.3,1.5,0.047,0.5,-4.1,-3.6,-0.6
2017,Jordan Crawford,SG,29,NOP,2,0,37,6.8,13.6,0.5,3.9,4.9,0.8,2.9,8.8,0.333,0,0,,1.9,1,2.9,8.8,0,1,3.9,5.8,17.5,15.8,0.643,0.357,0,6.1,2.9,4.4,35.7,0,2.2,21.1,0.1,0,0.1,0.123,1.3,-4.7,-3.4,0
2017,Jae Crowder,SF,27,TOT,74,47,1955,4.6,11.2,0.41,1.8,5.6,0.326,2.8,5.6,0.493,2.1,2.5,0.819,1,3.7,4.7,1.7,1,0.3,1.3,3.1,13.1,10.3,0.531,0.5,0.227,3.1,11.6,7.4,6.8,1.4,0.8,16.8,1,1.3,2.3,0.057,-0.9,-1.1,-2,0
2017,Jae Crowder,SF,27,CLE,53,47,1346,4.2,10.1,0.418,1.7,5.1,0.328,2.5,5,0.508,2.1,2.5,0.848,1.1,3.5,4.6,1.6,1.1,0.3,1.1,3.3,12.1,10.2,0.545,0.503,0.245,3.5,10.8,7.2,6,1.5,0.8,15.1,1,0.6,1.6,0.059,-0.6,-1.3,-1.8,0.1
2017,Jae Crowder,SF,27,UTA,21,0,609,5.4,13.7,0.397,2.2,6.8,0.322,3.3,6.9,0.47,2.1,2.7,0.761,0.8,4.2,5,2,0.8,0.4,1.6,2.8,15.1,10.4,0.507,0.496,0.198,2.4,13.2,7.8,8.5,1.2,0.8,20.7,0,0.7,0.7,0.054,-1.6,-0.7,-2.3,0
2017,Dante Cunningham,SF,30,TOT,68,25,1465,3.7,8.1,0.453,1.3,3.8,0.351,2.4,4.3,0.542,0.7,1.2,0.592,1.7,5,6.7,1,0.9,0.6,0.7,2.6,9.4,9.7,0.543,0.465,0.148,5.2,14.7,10,4,1.2,1.4,11.3,1,1.2,2.2,0.072,-1.5,0,-1.5,0.2
2017,Dante Cunningham,SF,30,NOP,51,24,1115,3.2,7.3,0.44,1.1,3.5,0.324,2.1,3.8,0.547,0.6,1.2,0.556,1.6,4.6,6.2,0.8,0.9,0.5,0.5,2.4,8.2,8.5,0.525,0.48,0.16,5,13.5,9.4,3,1.2,1.1,10,0.7,0.8,1.5,0.065,-1.6,-0.2,-1.8,0.1
2017,Dante Cunningham,SF,30,BRK,17,1,350,5.2,10.9,0.481,2,4.7,0.413,3.3,6.2,0.533,0.9,1.3,0.692,2,6.2,8.1,1.6,1,1,1.4,3,13.4,13.8,0.582,0.434,0.123,5.7,18.4,12,7.1,1.4,2.1,15.5,0.4,0.3,0.7,0.095,-0.9,0.4,-0.6,0.1
2017,Stephen Curry,PG,29,GSW,51,51,1631,9.4,19.1,0.495,4.7,11.1,0.423,4.8,8,0.595,6.1,6.7,0.921,0.8,5,5.8,6.8,1.8,0.2,3.4,2.5,29.7,28.2,0.675,0.58,0.35,2.7,14.4,9,30.3,2.4,0.4,31,7.2,2,9.2,0.27,9.9,-1.2,8.7,4.4
2017,Troy Daniels,SG,26,PHO,76,12,1582,5.2,12.8,0.408,4.1,10.3,0.404,1.1,2.6,0.425,1.3,1.5,0.875,0.3,2.6,2.8,1.1,0.5,0.1,1.2,3.1,15.9,10.2,0.589,0.8,0.113,0.8,7.8,4.2,4.6,0.7,0.3,17.3,1.6,0,1.6,0.048,1,-3.7,-2.8,-0.3
